time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Activity_Code,Activity_Name,Trial_ID,Age,Height,Weight,Gender,User_ID
0.0,-9.5,-3.5,0.8,-0.1,-0.2,-0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.002,-9.0,-3.8,0.8,0.1,-0.2,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.004,-9.3,-3.6,2.1,0.1,-0.2,0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.005,-9.4,-2.2,1.5,-0.4,-0.3,-0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.105,-7.9,-4.1,1.1,-0.3,0.2,-0.2,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.106,-8.8,-5.0,0.1,-0.3,0.2,-0.2,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.108,-9.4,-3.2,0.9,0.5,0.3,0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.109,-9.4,-2.9,1.3,0.3,0.0,0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.111,-8.8,-4.0,1.2,-0.1,-0.2,-0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.116,-8.5,-4.8,1.0,-0.1,-0.1,-0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.201,-8.6,-4.4,1.0,-0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.202,-8.9,-3.7,1.1,-0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.204,-9.0,-3.4,1.2,-0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.206,-9.0,-3.3,1.1,-0.2,-0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.207,-9.3,-3.3,1.1,-0.2,-0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.301,-8.9,-3.9,1.0,-0.2,-0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.303,-8.7,-4.1,1.0,-0.2,-0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.305,-8.9,-3.9,1.0,-0.2,-0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.306,-9.0,-3.4,1.1,-0.2,-0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.319,-9.1,-3.4,1.0,0.1,0.1,0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.401,-8.7,-3.8,1.1,0.0,0.1,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.403,-8.1,-4.1,1.3,0.1,0.4,0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.408,-10.0,-3.7,0.2,-0.1,0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.41,-9.6,-3.2,0.8,-0.1,0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.412,-8.9,-3.0,1.4,-0.1,0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.484,-9.4,-3.9,0.7,0.1,0.1,-0.1,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.486,-9.0,-3.9,0.8,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.487,-9.0,-3.5,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.489,-9.1,-3.4,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.491,-9.0,-3.5,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.599,-9.0,-3.5,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.6,-9.0,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.602,-9.1,-3.5,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.604,-9.0,-3.4,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.702,-9.0,-3.5,0.9,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.704,-8.9,-3.6,0.9,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.705,-9.1,-3.6,0.8,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.707,-9.2,-3.6,0.8,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.717,-9.1,-3.6,0.8,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.718,-8.9,-3.6,0.9,-0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.801,-8.9,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.802,-8.9,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.804,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.806,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.807,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.901,-9.0,-3.7,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.902,-9.0,-3.7,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.904,-9.1,-3.8,0.9,-0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.905,-9.1,-3.8,0.8,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
0.911,-9.1,-3.7,0.8,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.001,-9.0,-3.7,0.8,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.003,-8.9,-3.7,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.004,-9.0,-3.6,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.013,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.015,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.101,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.102,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.119,-9.1,-3.7,1.0,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.121,-9.1,-3.8,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.122,-9.1,-3.7,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.201,-9.1,-3.7,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.202,-9.0,-3.7,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.204,-8.9,-3.7,0.9,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.209,-8.9,-3.7,0.9,0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.211,-8.9,-3.7,0.9,0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.301,-8.9,-3.7,0.9,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.302,-9.1,-3.7,0.9,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.304,-9.2,-3.7,0.8,0.0,-0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.306,-9.1,-3.7,0.9,0.0,0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.307,-9.0,-3.8,0.9,0.0,0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.403,-9.0,-3.7,0.8,0.0,0.0,-0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.405,-8.9,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.407,-8.9,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.408,-9.0,-3.6,0.8,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.41,-9.0,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.476,-9.0,-3.6,0.8,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.485,-9.1,-3.7,0.8,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.492,-9.1,-3.7,0.8,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.494,-9.1,-3.7,0.8,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.495,-9.1,-3.7,0.8,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.599,-8.9,-3.7,0.8,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.6,-8.9,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.602,-9.0,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.702,-9.0,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.709,-9.1,-3.6,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.711,-9.1,-3.7,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.713,-9.0,-3.7,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.714,-9.0,-3.7,0.9,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.716,-9.0,-3.7,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.801,-9.0,-3.7,0.8,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
1.802,-9.0,-3.6,0.9,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,D01,Walking,R01,95.0,1.7,71.0,Male,U21
