time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Activity_Code,Activity_Name,Trial_ID,Age,Height,Weight,Gender,User_ID
0.0,-5.7,-2.7,9.0,0.7,0.1,0.3,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.002,-5.9,-2.0,8.9,0.0,0.2,-0.1,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.004,-4.9,-2.1,7.9,-0.4,-0.1,-0.2,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.01,-5.3,-3.9,7.4,-0.4,-0.1,-0.2,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.102,-4.8,-3.8,7.7,-0.2,-0.0,-0.0,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.104,-5.1,-3.1,8.0,-0.2,-0.0,-0.0,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.106,-5.2,-3.4,7.6,-0.1,-0.0,0.1,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.107,-4.8,-3.8,7.9,-0.2,-0.1,-0.0,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.109,-4.7,-3.8,7.9,-0.1,-0.1,-0.0,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.114,-5.0,-3.4,7.7,-0.1,-0.1,-0.0,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
0.201,-5.0,-3.1,7.6,-0.2,-0.1,-0.1,0.3,-0.3,-0.1,0.9,D01,Walking,R01,88.0,1.57,52.5,Female,U28
