time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,-3.1,-2.6,9.2,0.1,-0.1,-0.1,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-3.0,-2.6,8.9,0.1,-0.1,-0.1,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,-3.9,-2.2,9.9,0.2,-0.1,-0.1,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-3.9,-2.5,9.3,0.9,0.0,0.1,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.124,-3.7,-1.7,9.4,-0.0,-0.1,-0.2,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,-2.1,-2.0,9.1,-0.0,-0.1,-0.2,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,-3.0,-3.5,8.2,-0.3,-0.1,-0.1,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,-3.5,-1.9,8.9,-0.3,-0.0,0.1,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.134,-3.0,-2.4,8.9,0.2,0.0,-0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.209,-3.3,-2.3,8.8,0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,-3.4,-2.0,8.9,0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.212,-3.3,-2.4,8.9,0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.214,-3.2,-2.5,9.0,0.0,-0.0,0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.216,-2.9,-2.3,9.1,-0.0,-0.0,0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.217,-2.9,-2.5,9.0,0.0,-0.0,0.0,-0.3,0.2,0.1,-0.9,1,20.0,1.73,69.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
