time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D03,Activity_D04,Activity_D09,Activity_D10,Activity_D11
0.0,-9.7,-3.2,2.8,0.1,-0.3,0.2,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.002,-8.9,-1.8,3.0,-0.3,-0.2,0.0,0.8,-0.3,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.004,-8.2,-2.9,2.3,-0.3,0.3,-0.2,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.005,-9.6,-4.0,1.9,-0.3,0.3,-0.2,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.101,-9.1,-3.2,2.5,0.2,0.1,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.103,-9.1,-2.9,2.6,0.2,0.1,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.104,-9.0,-3.1,2.5,0.2,0.1,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.106,-9.0,-3.1,2.4,0.2,0.1,-0.1,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.108,-9.0,-3.1,2.5,0.2,0.0,-0.1,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.109,-8.9,-3.1,2.4,0.1,0.1,-0.1,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.2,-9.1,-3.1,2.4,-0.0,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.201,-9.1,-3.1,2.4,-0.0,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.207,-8.9,-3.2,2.4,-0.0,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.209,-9.0,-3.0,2.4,0.0,0.0,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.211,-9.2,-2.7,2.4,0.1,0.0,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.3,-9.0,-3.0,2.3,-0.1,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.302,-9.0,-3.4,2.3,-0.1,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.303,-9.1,-3.0,2.3,-0.1,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.309,-9.0,-3.0,2.5,-0.1,-0.0,-0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.321,-9.2,-2.9,2.4,0.1,0.1,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.416,-9.1,-2.9,2.3,-0.1,0.0,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.418,-9.0,-3.1,2.4,-0.1,0.0,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.42,-8.8,-3.3,2.4,-0.1,0.0,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.421,-9.0,-3.3,2.4,-0.1,0.0,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.423,-9.1,-3.3,2.1,-0.1,0.1,0.0,0.8,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.499,-10.0,-2.1,2.3,-0.3,-0.1,0.2,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.501,-9.2,-3.2,2.3,-0.3,-0.1,0.2,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.503,-9.5,-2.7,2.3,-0.4,-0.1,0.2,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.504,-9.0,-3.2,2.2,-0.4,-0.1,0.2,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.506,-9.1,-3.3,2.1,-0.4,-0.1,0.2,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.6,-9.1,-3.3,2.1,-0.1,-0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.601,-9.1,-3.1,2.2,-0.1,-0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.603,-9.2,-2.9,2.2,0.1,0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.605,-9.2,-2.8,2.2,0.2,0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.606,-9.2,-2.8,2.2,0.1,0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.709,-9.2,-2.9,2.1,-0.1,-0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.71,-9.2,-3.0,2.1,-0.1,-0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.712,-9.3,-2.9,2.1,-0.1,-0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.722,-9.2,-2.8,2.1,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.723,-9.1,-2.9,2.1,-0.0,-0.0,-0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.8,-9.1,-2.9,2.1,-0.1,-0.0,-0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.805,-9.1,-3.0,2.1,-0.1,-0.0,-0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.807,-9.2,-3.0,2.1,-0.1,-0.0,-0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.808,-9.2,-2.9,2.1,-0.0,0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
0.81,-9.3,-2.9,2.1,0.0,0.0,0.0,0.7,-0.4,0.5,0.2,1,81.0,1.52,63.0,1,24,1,0,0,0,0,0
