time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,-4.5,-0.7,8.6,0.0,0.0,0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,-4.5,-0.8,8.5,0.0,0.0,0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,-4.6,-0.6,8.4,0.1,0.1,0.1,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-4.9,-0.5,8.6,-0.1,-0.0,-0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,-4.6,-0.9,8.6,-0.1,-0.1,-0.1,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126,-4.3,-1.0,8.6,-0.1,0.1,-0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.131,-4.6,-0.5,8.7,-0.2,0.2,-0.1,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,-3.6,-0.2,8.5,-0.2,0.1,-0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.134,-4.5,-0.6,8.2,-0.2,0.1,-0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136,-4.3,-1.0,8.3,-0.2,0.1,-0.0,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.202,-3.9,-1.2,8.4,-0.2,0.2,0.1,0.4,0.2,0.1,-0.9,1,22.0,1.67,69.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
