time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,0.2,1.5,8.6,0.1,-0.0,0.2,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,-1.6,-0.9,8.7,0.8,0.2,0.3,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.0,3.0,9.3,1.3,-0.1,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.127,-1.1,4.7,10.5,-0.0,-0.2,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129,-0.8,4.8,11.4,-0.0,-0.2,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,1.5,2.6,9.6,-0.0,-0.2,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136,-1.3,-1.8,8.0,-1.6,-0.2,-0.0,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.137,0.1,1.5,9.1,-1.6,0.3,0.2,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.241,0.0,1.8,9.1,-0.1,0.0,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.242,0.3,1.0,8.9,-0.1,0.0,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.244,0.0,1.8,9.6,-0.1,0.0,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-0.4,1.7,9.6,-0.1,0.0,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252,-0.3,1.4,9.3,-0.0,-0.0,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.253,-0.2,1.4,9.4,-0.0,-0.0,0.1,-0.8,-0.1,-0.1,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.327,-0.1,1.6,9.6,-0.2,-0.0,0.0,-0.8,-0.1,-0.0,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.329,-0.2,1.5,9.5,-0.2,-0.0,0.0,-0.8,-0.1,-0.0,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,-0.1,1.3,9.5,-0.2,-0.0,0.0,-0.8,-0.1,-0.0,-0.6,1,23.0,1.78,64.5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
