time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,-0.8,1.0,10.5,-0.4,0.1,-0.1,-0.7,-0.0,-0.1,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-1.1,0.3,10.2,-0.0,-0.1,0.0,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,-1.4,0.4,10.0,0.3,0.1,0.2,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,-0.5,0.5,9.8,0.3,0.1,0.2,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.4,0.3,9.7,0.3,0.1,0.2,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.122,-0.7,1.6,10.3,-0.0,0.1,0.2,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.124,-0.9,0.1,9.6,-0.0,-0.0,0.0,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126,-1.3,0.5,9.5,-0.0,-0.0,0.0,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.127,0.1,0.9,9.8,-0.0,-0.0,0.0,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.226,-0.8,-0.4,9.5,-0.1,0.0,0.2,-0.7,0.0,-0.0,-0.7,1,23.0,1.83,77.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
