time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D03,Activity_D04,Activity_D09,Activity_D10,Activity_D11
0.0,-4.4,-6.3,5.7,0.1,0.0,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.006,-4.6,-6.6,5.2,-0.1,-0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.008,-5.1,-6.3,5.2,-0.2,-0.1,0.0,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.01,-5.4,-6.3,5.3,-0.2,-0.1,0.0,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.013,-4.9,-6.2,5.4,-0.2,-0.1,0.0,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.1,-4.4,-6.2,5.4,-0.2,0.1,-0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.102,-5.0,-6.9,4.8,0.1,0.1,-0.0,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.104,-5.2,-6.7,5.0,-0.0,0.1,-0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.105,-5.0,-6.4,5.3,-0.1,0.1,-0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.107,-5.0,-6.1,5.4,-0.1,0.1,-0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.2,-5.0,-5.8,5.3,-0.2,0.1,-0.0,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.206,-4.7,-6.5,5.4,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.208,-4.3,-6.4,5.4,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.209,-5.3,-7.1,5.4,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.211,-4.5,-7.0,5.4,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.3,-5.0,-7.0,5.5,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.302,-4.8,-7.0,5.4,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.307,-4.8,-6.7,5.5,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.309,-4.9,-6.7,5.4,-0.0,0.1,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.324,-5.1,-6.6,5.4,0.1,0.0,0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.4,-5.0,-6.4,5.4,-0.2,-0.1,0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.402,-5.3,-6.4,5.2,-0.2,-0.1,0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.403,-5.0,-6.4,5.2,-0.2,-0.1,0.2,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.405,-5.2,-6.5,5.2,-0.2,-0.0,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.406,-5.1,-6.7,5.2,-0.2,-0.0,0.1,0.1,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.499,-5.1,-6.6,5.1,-0.1,-0.0,0.1,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.501,-5.3,-6.4,5.2,-0.2,-0.1,0.1,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.503,-5.4,-6.4,5.3,-0.2,-0.1,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.504,-5.3,-6.7,5.2,-0.2,-0.1,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.506,-5.3,-6.8,5.1,-0.2,-0.1,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.612,-5.3,-6.7,5.2,-0.1,-0.1,-0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.614,-5.2,-6.5,5.2,-0.0,-0.0,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.616,-5.2,-6.5,5.1,-0.0,-0.0,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.617,-5.1,-6.6,5.0,-0.0,-0.0,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.619,-5.3,-6.8,5.0,-0.0,-0.0,0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.7,-5.1,-6.8,5.0,0.0,-0.0,-0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
0.702,-5.2,-6.5,5.2,0.0,-0.0,-0.0,0.2,0.2,0.4,-0.9,1,88.0,1.63,53.0,1,31,1,0,0,0,0,0
