time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,1.3,1.2,11.1,0.8,0.4,0.2,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,2.2,1.1,10.1,0.8,0.4,0.2,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,1.6,0.5,10.2,0.8,0.4,0.2,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.5,0.7,8.9,0.0,0.0,0.1,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101,2.0,0.4,9.8,0.0,0.1,0.1,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102,1.1,1.1,9.5,0.0,0.1,0.1,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.107,2.0,0.4,9.8,0.0,0.0,-0.0,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109,1.0,0.6,9.7,0.1,0.0,0.1,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111,1.4,0.2,9.7,0.1,0.0,0.1,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.205,1.8,0.1,9.7,-0.0,0.0,-0.0,-0.7,0.0,0.1,0.7,1,21.0,1.7,57.1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
