time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,-3.4,-0.5,9.1,-0.1,0.0,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,-3.5,-0.7,8.7,-0.0,0.1,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,-3.6,-0.7,10.3,0.6,-0.1,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-3.1,-0.4,9.0,0.0,-0.0,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.106,-3.8,-0.0,9.2,-0.0,0.1,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.107,-3.2,0.0,9.8,-0.0,0.1,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109,-4.1,-1.3,8.5,-0.5,0.1,0.0,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111,-5.0,-0.8,8.8,-0.9,0.2,0.0,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.112,-2.8,-1.0,9.0,-0.9,0.2,0.0,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232,-3.0,-0.6,9.1,-0.0,0.1,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.234,-3.7,-0.6,9.2,-0.0,0.1,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.236,-3.6,-0.8,9.1,-0.0,0.2,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238,-4.0,-0.8,8.9,-0.2,0.2,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.239,-4.0,-0.9,9.0,-0.2,0.2,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.329,-3.6,-0.3,9.0,-0.1,0.0,0.1,-0.7,-0.1,-0.2,0.7,1,21.0,1.78,68.1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
