time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D03,Activity_D04,Activity_D09,Activity_D10,Activity_D11
0.0,-3.9,-3.2,8.5,-0.1,0.0,0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.001,-4.1,-3.1,8.5,-0.1,0.0,0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.003,-3.9,-3.2,8.4,-0.1,-0.0,-0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.005,-3.3,-3.7,9.1,0.4,-0.0,0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.01,-3.4,-2.0,8.7,-0.2,-0.1,-0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.106,-4.2,-4.1,8.1,0.1,0.1,0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.108,-3.6,-3.3,8.4,0.0,0.1,0.0,0.9,-0.1,0.2,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.11,-4.1,-2.8,8.6,0.0,0.1,0.0,0.9,-0.1,0.3,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.112,-3.9,-3.2,8.6,-0.1,0.0,0.0,0.9,-0.1,0.3,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.113,-4.0,-3.0,8.5,-0.1,0.1,0.0,0.9,-0.1,0.3,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.199,-4.4,-2.7,8.4,-0.1,0.0,-0.0,0.9,-0.1,0.3,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
0.201,-4.2,-3.0,8.4,-0.1,0.0,-0.0,0.9,-0.1,0.3,-0.3,1,83.0,1.75,85.0,0,26,1,0,0,0,0,0
